Instance,Temps,UB,nb_iter,chemin
750_USA-road-d.NY.gr,0.41750216484069824,70898.23000000001,0,621/ 478/ 517/ 618/ 643/ 450/ 242/ 694/ 717/ 716/ 697/ 326/ 392/ 240/ 360/ 444/ 651/ 443/ 578/ 691/ 707
1700_USA-road-d.COL.gr,4.6118950843811035,42505.7,0,88/ 238/ 213/ 188/ 1281/ 1635/ 747/ 659/ 1693/ 782/ 1249/ 269/ 309/ 1398/ 1053
800_USA-road-d.BAY.gr,0.3635721206665039,64548.46000000001,1,588/ 569/ 589/ 669/ 664/ 646/ 481/ 590/ 360/ 535/ 795/ 765/ 794/ 779/ 785/ 479/ 796/ 766
1200_USA-road-d.BAY.gr,0.9667589664459229,76338.22,0,1099/ 1082/ 1115/ 1018/ 990/ 1046/ 975/ 454/ 859/ 1045/ 414/ 888/ 438/ 581/ 861/ 902/ 1159/ 860/ 1097/ 862/ 1123/ 826/ 1177
800_USA-road-d.COL.gr,0.6118669509887695,40845.5,0,83/ 431/ 394/ 779/ 502/ 492/ 458/ 525/ 659/ 698/ 641/ 281/ 601/ 389
1700_USA-road-d.NY.gr,0.9978129863739014,66475.47,0,1133/ 1390/ 1364/ 721/ 1237/ 617/ 1108/ 1070/ 694/ 855/ 866/ 1463/ 585/ 906/ 582/ 1223/ 1683/ 1176/ 1240/ 1547/ 1554/ 1555/ 1307
800_USA-road-d.NY.gr,0.3831920623779297,70898.23000000001,0,621/ 478/ 517/ 750/ 700/ 227/ 440/ 694/ 717/ 716/ 697/ 585/ 280/ 787/ 581/ 714/ 496/ 323/ 712/ 758/ 707
80_USA-road-d.BAY.gr,0.00882411003112793,10857.06,1,59/ 44/ 48/ 42/ 25/ 41/ 74
80_USA-road-d.COL.gr,0.006989955902099609,22378.51,0,46/ 65/ 64/ 60/ 69/ 71/ 78/ 76
80_USA-road-d.NY.gr,0.006087064743041992,31775.839999999997,0,39/ 15/ 38/ 46/ 68/ 59/ 56
850_USA-road-d.BAY.gr,0.23820710182189941,66167.86,3,659/ 657/ 799/ 541/ 792/ 771/ 825/ 490/ 503/ 562/ 600/ 850/ 424/ 414/ 405/ 520/ 817/ 754/ 786
1200_USA-road-d.COL.gr,1.3623249530792236,42766.5,0,88/ 238/ 471/ 536/ 361/ 207/ 907/ 793/ 293/ 245/ 938/ 528/ 1000/ 1001/ 1053
1800_USA-road-d.BAY.gr,1.2210330963134766,72511.79000000001,1,1627/ 1379/ 1451/ 1328/ 1487/ 1301/ 1158/ 520/ 889/ 1776/ 888/ 438/ 457/ 861/ 1692/ 1740/ 770/ 1372/ 1579/ 1215/ 1535/ 1177/ 1456/ 1788
850_USA-road-d.COL.gr,0.7874908447265625,38423.259999999995,0,213/ 237/ 233/ 783/ 406/ 628/ 247/ 185/ 658/ 330/ 354/ 493/ 724/ 576/ 666
1200_USA-road-d.NY.gr,0.6054511070251465,72565.98999999999,0,1066/ 1095/ 578/ 938/ 359/ 1153/ 360/ 910/ 906/ 585/ 697/ 866/ 855/ 442/ 1070/ 1117/ 1082/ 477/ 875/ 478/ 722/ 1144
120_USA-road-d.BAY.gr,0.015058040618896484,12904.820000000002,1,74/ 41/ 3/ 55/ 16/ 99/ 116/ 105
120_USA-road-d.COL.gr,0.008059978485107422,31065.539999999997,1,81/ 59/ 108/ 100/ 101/ 106/ 93/ 76/ 116/ 117/ 83
850_USA-road-d.NY.gr,0.3645179271697998,68379.91,1,576/ 385/ 596/ 534/ 514/ 462/ 248/ 639/ 516/ 475/ 543/ 505/ 504/ 724/ 759/ 621
120_USA-road-d.NY.gr,0.01057291030883789,31592.039999999997,0,110/ 96/ 55/ 97/ 16/ 117/ 60/ 54/ 120
900_USA-road-d.BAY.gr,0.26948094367980957,75874.86,4,820/ 799/ 541/ 792/ 888/ 825/ 886/ 503/ 884/ 218/ 595/ 577/ 516/ 510/ 520/ 817/ 698/ 846/ 697/ 876/ 845/ 854
1300_USA-road-d.BAY.gr,0.5886211395263672,76715.79,2,1099/ 1150/ 1115/ 890/ 1243/ 1046/ 1084/ 1288/ 1273/ 1158/ 969/ 989/ 414/ 963/ 559/ 823/ 1160/ 1237/ 671/ 938/ 1097/ 970/ 939/ 826/ 1177
2400_USA-road-d.COL.gr,6.9004387855529785,50172.479999999996,2,88/ 720/ 213/ 312/ 275/ 2050/ 2170/ 903/ 1327/ 61/ 481/ 946/ 2150/ 2006/ 1410/ 2033/ 2153/ 2272
900_USA-road-d.COL.gr,0.5530760288238525,38423.259999999995,0,213/ 237/ 233/ 783/ 660/ 138/ 652/ 228/ 150/ 653/ 679/ 117/ 319/ 576/ 666
900_USA-road-d.NY.gr,0.3724029064178467,71088.80000000002,2,576/ 703/ 751/ 592/ 496/ 640/ 581/ 396/ 108/ 585/ 697/ 864/ 507/ 442/ 584/ 227/ 245/ 618/ 721/ 478/ 621
950_USA-road-d.BAY.gr,0.2688889503479004,75874.86,4,820/ 616/ 925/ 792/ 888/ 931/ 770/ 671/ 658/ 600/ 331/ 577/ 330/ 732/ 520/ 918/ 698/ 846/ 697/ 876/ 845/ 854
1300_USA-road-d.COL.gr,1.1047289371490479,42505.7,0,88/ 189/ 1238/ 188/ 172/ 1114/ 747/ 793/ 534/ 245/ 828/ 564/ 479/ 529/ 1053
1800_USA-road-d.COL.gr,2.43184494972229,42505.7,0,88/ 931/ 1290/ 467/ 1708/ 1352/ 1533/ 1599/ 1601/ 825/ 1679/ 330/ 696/ 1001/ 1053
2400_USA-road-d.NY.gr,1.3881621360778809,71974.35,0,1785/ 1617/ 2355/ 1852/ 595/ 1309/ 1556/ 1592/ 2350/ 2368/ 1584/ 1918/ 1414/ 1799/ 2061/ 2369/ 1952/ 1676/ 2319/ 2336/ 2353/ 2320/ 1974
1300_USA-road-d.NY.gr,0.7990729808807373,67883.94,1,1144/ 1118/ 646/ 1183/ 1243/ 617/ 1117/ 1070/ 1093/ 1068/ 866/ 697/ 856/ 108/ 240/ 581/ 444/ 579/ 1235/ 1223/ 1284/ 691/ 1271/ 1296
950_USA-road-d.COL.gr,0.8591189384460449,38423.259999999995,0,213/ 237/ 687/ 833/ 862/ 901/ 293/ 505/ 209/ 388/ 530/ 280/ 724/ 710/ 666
950_USA-road-d.NY.gr,0.25400495529174805,71088.80000000002,2,576/ 454/ 751/ 265/ 359/ 324/ 916/ 325/ 392/ 855/ 697/ 864/ 507/ 694/ 440/ 911/ 245/ 477/ 517/ 646/ 621
1800_USA-road-d.NY.gr,1.0291669368743896,69098.25,1,1133/ 621/ 478/ 1171/ 477/ 1559/ 1772/ 1740/ 1720/ 855/ 866/ 1463/ 585/ 447/ 1450/ 360/ 640/ 1176/ 1240/ 1226/ 1554/ 1555/ 1756/ 1785
180_USA-road-d.BAY.gr,0.02926492691040039,14081.580000000002,1,74/ 41/ 129/ 42/ 34/ 40/ 166/ 138/ 159
180_USA-road-d.COL.gr,0.03342700004577637,36557.45,0,83/ 176/ 139/ 166/ 165/ 101/ 126/ 108/ 99/ 159/ 161
1400_USA-road-d.BAY.gr,0.6287310123443604,79995.28000000001,1,1177/ 1161/ 939/ 1093/ 760/ 770/ 901/ 1237/ 861/ 581/ 559/ 963/ 516/ 510/ 859/ 1367/ 1332/ 1288/ 1084/ 1153/ 1127/ 1152/ 1224/ 1363/ 1323/ 1338
180_USA-road-d.NY.gr,0.03278994560241699,32640.039999999997,0,120/ 122/ 119/ 63/ 88/ 97/ 114/ 96/ 142/ 154
2500_USA-road-d.BAY.gr,2.1426119804382324,73974.15999999999,0,2222/ 2172/ 1862/ 1915/ 2193/ 2180/ 2299/ 1367/ 859/ 1906/ 2269/ 2327/ 1569/ 1974/ 861/ 1684/ 2365/ 860/ 2364/ 970/ 1123/ 1161/ 2176/ 2225/ 2283/ 2405
1900_USA-road-d.BAY.gr,1.1066529750823975,76729.59000000001,1,1580/ 1641/ 1793/ 1215/ 1093/ 1458/ 770/ 671/ 562/ 1120/ 1674/ 963/ 414/ 889/ 1422/ 993/ 1898/ 1363/ 1249/ 1890/ 1572/ 1727/ 1679/ 1834
1400_USA-road-d.COL.gr,1.7382922172546387,42505.7,0,88/ 362/ 471/ 1237/ 834/ 612/ 360/ 448/ 293/ 1050/ 1232/ 945/ 554/ 529/ 1053
1400_USA-road-d.NY.gr,0.7383110523223877,67883.94,1,1144/ 722/ 1054/ 875/ 618/ 617/ 1117/ 1070/ 1093/ 1068/ 866/ 697/ 856/ 392/ 240/ 1220/ 923/ 1171/ 1235/ 1223/ 1206/ 1270/ 1271/ 1296
140_USA-road-d.BAY.gr,0.018680095672607422,15643.660000000002,0,63/ 58/ 104/ 48/ 99/ 116/ 105/ 130/ 136
140_USA-road-d.COL.gr,0.12679791450500488,24651.02,2,60/ 83/ 117/ 78/ 97/ 138/ 137/ 127/ 126/ 108/ 129
140_USA-road-d.NY.gr,0.008710145950317383,39267.79,0,134/ 98/ 78/ 108/ 46/ 38/ 41/ 122/ 120/ 140
1500_USA-road-d.BAY.gr,0.6493420600891113,79379.73000000001,1,1177/ 1161/ 1123/ 1370/ 900/ 582/ 671/ 658/ 1235/ 850/ 424/ 414/ 889/ 1382/ 1478/ 1491/ 1288/ 1361/ 1153/ 1443/ 1152/ 1381/ 1363/ 1323/ 1338
1900_USA-road-d.COL.gr,3.0437779426574707,42505.7,0,88/ 362/ 213/ 518/ 1534/ 409/ 178/ 1510/ 899/ 966/ 1679/ 1528/ 1674/ 1001/ 1053
2500_USA-road-d.COL.gr,3.62873911857605,55495.16,0,88/ 189/ 249/ 1007/ 464/ 1114/ 2014/ 138/ 567/ 2280/ 590/ 1429/ 1477/ 2063/ 1649/ 1630/ 2486/ 2175/ 2391/ 2088
1500_USA-road-d.COL.gr,1.4194409847259521,42505.7,0,88/ 238/ 1033/ 1336/ 1236/ 1498/ 1200/ 1221/ 247/ 1103/ 1043/ 945/ 1000/ 1285/ 1053
1900_USA-road-d.NY.gr,0.8672530651092529,69098.25,0,1133/ 1390/ 1190/ 1171/ 1237/ 617/ 1772/ 1070/ 1044/ 855/ 1724/ 1463/ 326/ 906/ 396/ 916/ 1683/ 1176/ 1240/ 1547/ 1850/ 1826/ 1756/ 1785
1500_USA-road-d.NY.gr,0.5778970718383789,66475.47,0,1144/ 1418/ 1054/ 1183/ 1053/ 1254/ 1117/ 1070/ 1093/ 507/ 866/ 1445/ 856/ 1406/ 240/ 360/ 640/ 579/ 1235/ 1223/ 1469/ 1282/ 1296
2500_USA-road-d.NY.gr,1.1602981090545654,71974.35,0,1792/ 1296/ 1746/ 2385/ 1638/ 2382/ 1673/ 1512/ 2373/ 2029/ 1570/ 2463/ 2112/ 1856/ 2278/ 2374/ 1969/ 2104/ 2414/ 2434/ 2358/ 2317/ 1973
250_USA-road-d.BAY.gr,0.0357210636138916,19247.969999999998,0,159/ 105/ 184/ 136/ 133/ 92/ 194/ 118/ 127/ 224
250_USA-road-d.COL.gr,0.03546595573425293,34677.409999999996,0,83/ 196/ 215/ 195/ 214/ 165/ 164/ 213/ 193/ 246/ 181/ 161
2000_USA-road-d.BAY.gr,0.9500880241394043,67603.99999999999,0,1712/ 1862/ 1915/ 1861/ 1869/ 1332/ 1812/ 1065/ 405/ 1518/ 1799/ 946/ 1120/ 1640/ 1237/ 503/ 860/ 825/ 1246/ 1238/ 1161/ 1177/ 1864/ 1918
250_USA-road-d.NY.gr,0.04031205177307129,58663.38,1,147/ 234/ 60/ 190/ 185/ 66/ 208/ 87/ 246/ 151/ 239
1600_USA-road-d.BAY.gr,0.7620429992675781,81809.73000000001,1,1329/ 1404/ 1330/ 1115/ 1152/ 1572/ 1153/ 1402/ 1487/ 1424/ 1457/ 1422/ 1045/ 330/ 577/ 1564/ 936/ 791/ 1577/ 1411/ 1372/ 862/ 792/ 826/ 1545/ 1580
300_USA-road-d.BAY.gr,0.07529091835021973,21954.18,2,224/ 127/ 277/ 264/ 256/ 86/ 136/ 84/ 105/ 160/ 269
300_USA-road-d.COL.gr,0.04549288749694824,36488.409999999996,0,83/ 196/ 265/ 237/ 214/ 247/ 127/ 263/ 82/ 201/ 234/ 281/ 260
300_USA-road-d.NY.gr,0.0645298957824707,59376.17,0,239/ 252/ 246/ 254/ 291/ 271/ 258/ 218/ 277/ 166/ 172/ 79/ 275/ 149/ 279
350_USA-road-d.BAY.gr,0.08934617042541504,21954.18,2,224/ 330/ 277/ 264/ 185/ 246/ 290/ 209/ 335/ 284/ 269
350_USA-road-d.COL.gr,0.3061408996582031,39395.56,1,215/ 196/ 256/ 167/ 233/ 86/ 10/ 47/ 314/ 24/ 112/ 302/ 347
350_USA-road-d.NY.gr,0.05746197700500488,45262.89,0,242/ 133/ 210/ 79/ 155/ 83/ 233/ 259/ 300/ 271/ 248/ 350/ 349
400_USA-road-d.BAY.gr,0.13118314743041992,32288.360000000004,5,269/ 160/ 289/ 84/ 276/ 381/ 393/ 358/ 339/ 321/ 60/ 267/ 249/ 382
400_USA-road-d.COL.gr,0.0991520881652832,40845.5,0,83/ 258/ 265/ 237/ 292/ 247/ 127/ 180/ 351/ 212/ 291/ 211/ 260/ 389
400_USA-road-d.NY.gr,0.07178902626037598,45262.89,0,242/ 133/ 210/ 79/ 172/ 61/ 144/ 323/ 330/ 375/ 291/ 270/ 349
40_USA-road-d.BAY.gr,0.0029020309448242188,12664.33,1,29/ 21/ 14/ 19/ 10/ 40
40_USA-road-d.COL.gr,0.0026040077209472656,15058.97,0,24/ 36/ 18/ 33/ 28/ 27
40_USA-road-d.NY.gr,0.002590179443359375,19099.500000000004,0,24/ 18/ 28/ 4/ 29/ 39
450_USA-road-d.BAY.gr,0.13906311988830566,32288.360000000004,6,269/ 284/ 428/ 143/ 418/ 381/ 393/ 358/ 445/ 321/ 60/ 267/ 422/ 382
450_USA-road-d.COL.gr,0.4305849075317383,40845.5,0,83/ 258/ 334/ 237/ 292/ 295/ 236/ 155/ 163/ 304/ 181/ 281/ 260/ 389
450_USA-road-d.NY.gr,0.10798907279968262,53381.09,0,279/ 290/ 408/ 200/ 27/ 95/ 162/ 71/ 108/ 336/ 439/ 335/ 239/ 360/ 401/ 369/ 431
500_USA-road-d.BAY.gr,0.12509799003601074,41929.57000000001,4,466/ 458/ 474/ 273/ 423/ 476/ 287/ 393/ 358/ 445/ 450/ 500/ 481
500_USA-road-d.COL.gr,0.1442410945892334,40845.5,0,83/ 258/ 265/ 485/ 251/ 109/ 355/ 263/ 465/ 424/ 469/ 346/ 260/ 389
500_USA-road-d.NY.gr,0.08666086196899414,77352.17,1,463/ 431/ 354/ 449/ 452/ 348/ 270/ 291/ 322/ 258/ 259/ 60/ 493/ 394/ 283/ 491/ 489/ 458/ 488
1600_USA-road-d.COL.gr,2.505169153213501,42505.7,0,88/ 538/ 1401/ 1437/ 759/ 1352/ 1081/ 448/ 1487/ 185/ 767/ 774/ 479/ 1398/ 1053
550_USA-road-d.BAY.gr,0.46418094635009766,48650.29,3,413/ 426/ 438/ 110/ 359/ 532/ 288/ 533/ 382/ 422/ 267/ 212/ 510/ 383/ 511/ 393/ 493/ 373/ 537
550_USA-road-d.COL.gr,0.14327597618103027,40845.5,0,83/ 258/ 489/ 308/ 393/ 109/ 164/ 425/ 507/ 372/ 234/ 161/ 260/ 389
550_USA-road-d.NY.gr,0.1013188362121582,76742.90999999999,1,463/ 521/ 510/ 346/ 525/ 374/ 270/ 476/ 271/ 319/ 141/ 391/ 308/ 394/ 283/ 491/ 489/ 458/ 488
2000_USA-road-d.COL.gr,2.9555411338806152,50172.479999999996,0,88/ 1622/ 331/ 1387/ 1032/ 1547/ 1900/ 1999/ 1079/ 61/ 1538/ 311/ 1870/ 1912/ 1300/ 1916/ 1871/ 1887
1600_USA-road-d.NY.gr,0.4396049976348877,66475.47,0,1133/ 621/ 1190/ 1171/ 298/ 1248/ 1108/ 1070/ 1044/ 855/ 866/ 1463/ 326/ 280/ 240/ 581/ 923/ 579/ 1240/ 1547/ 1554/ 1288/ 1307
160_USA-road-d.BAY.gr,0.01610398292541504,14081.580000000002,1,74/ 41/ 129/ 83/ 75/ 145/ 116/ 105/ 159
2000_USA-road-d.NY.gr,0.7158288955688477,72476.79999999999,0,1792/ 1604/ 1271/ 1403/ 1286/ 1298/ 1481/ 1256/ 1702/ 662/ 1047/ 1490/ 627/ 1562/ 1439/ 1420/ 1394/ 1943/ 1630/ 954/ 1343/ 1741/ 1950/ 1973
200_USA-road-d.BAY.gr,0.020817041397094727,14081.580000000002,1,74/ 41/ 129/ 141/ 142/ 145/ 166/ 164/ 159
200_USA-road-d.COL.gr,0.011425018310546875,37623.45,0,161/ 181/ 179/ 163/ 155/ 101/ 109/ 166/ 139/ 117/ 83/ 196
200_USA-road-d.NY.gr,0.014530181884765625,37332.26,0,137/ 125/ 116/ 165/ 11/ 190/ 172/ 184/ 120/ 149
20_USA-road-d.BAY.gr,0.0008821487426757812,15332.560000000001,1,15/ 11/ 13/ 5/ 17
20_USA-road-d.COL.gr,0.0008590221405029297,7076.52,0,12/ 10/ 14/ 17/ 15
20_USA-road-d.NY.gr,0.001046895980834961,9454.470000000001,1,2/ 8/ 17/ 9
2100_USA-road-d.BAY.gr,0.6377360820770264,72250.15999999999,0,1788/ 1956/ 1407/ 1914/ 939/ 771/ 1638/ 860/ 995/ 1692/ 861/ 581/ 559/ 888/ 1270/ 405/ 520/ 1962/ 1424/ 1913/ 2018/ 1948/ 1489/ 2070/ 2038
2100_USA-road-d.COL.gr,1.6515130996704102,43998.7,0,88/ 1837/ 249/ 1007/ 172/ 967/ 178/ 555/ 482/ 1531/ 1043/ 1030/ 1430/ 1924/ 2048/ 2013
2100_USA-road-d.NY.gr,0.5317928791046143,123256.84999999999,1,1785/ 1756/ 1555/ 1850/ 1806/ 1240/ 579/ 324/ 360/ 396/ 1810/ 1828/ 1463/ 866/ 1068/ 442/ 1740/ 1108/ 617/ 1237/ 1943/ 646/ 1203/ 2042/ 2030/ 1582/ 1569/ 1092/ 635/ 1327/ 1927/ 1434/ 1974
2200_USA-road-d.BAY.gr,0.5636129379272461,80869.20999999999,2,1580/ 1641/ 1497/ 2187/ 1900/ 825/ 2043/ 1577/ 1692/ 1639/ 1960/ 2122/ 1272/ 414/ 1982/ 1340/ 1845/ 1965/ 2087/ 2018/ 2178/ 1489/ 1804/ 2177/ 2127/ 2073/ 2128/ 2179
2200_USA-road-d.COL.gr,1.8873379230499268,48962.93,0,88/ 1935/ 1353/ 212/ 361/ 833/ 2018/ 1932/ 1487/ 591/ 338/ 946/ 669/ 2006/ 1997/ 2033/ 2153
2200_USA-road-d.NY.gr,0.6292870044708252,123256.84999999999,1,1785/ 1756/ 1739/ 1850/ 1904/ 1824/ 1437/ 1163/ 360/ 1450/ 1810/ 856/ 1463/ 866/ 855/ 694/ 1740/ 1108/ 1248/ 1281/ 1431/ 1956/ 621/ 2042/ 1599/ 2021/ 625/ 1092/ 1869/ 1678/ 1927/ 1928/ 1974
2300_USA-road-d.BAY.gr,0.5596961975097656,77192.09999999999,0,1788/ 1456/ 1789/ 2090/ 939/ 1792/ 1097/ 1122/ 2026/ 2089/ 1639/ 581/ 1878/ 424/ 1673/ 510/ 1340/ 1409/ 2137/ 2087/ 2233/ 2178/ 1489/ 2230/ 2276/ 2300
2300_USA-road-d.COL.gr,2.043217897415161,50172.479999999996,0,88/ 238/ 701/ 536/ 904/ 2050/ 775/ 181/ 955/ 1330/ 1669/ 946/ 1882/ 2256/ 1410/ 2216/ 2299/ 2272
