instance, time, obj, bounds, iter23, iter24, chemin
160_USA-road-d.COL.gr,11.291166067123413,24651.02,24651.02,2,4,49/ 60/ 71/ 83/ 93/ 97/ 106/ 108/ 127/ 129/ 155
160_USA-road-d.NY.gr,40.68830919265747,32640.04,32640.04,2,3,11/ 41/ 54/ 102/ 108/ 120/ 123/ 124/ 142/ 154
600_USA-road-d.BAY.gr,1074.3589689731598,34478.340000000004,34478.340000000004,4,5,60/ 109/ 120/ 130/ 269/ 440/ 497/ 511/ 523/ 531/ 565/ 575/ 586/ 588/ 594
2300_USA-road-d.NY.gr,1074.1177978515625,71507.3,66853.29999999999,4,2,248/ 288/ 692/ 707/ 729/ 731/ 954/ 993/ 1031/ 1066/ 1307/ 1394/ 1396/ 1417/ 1556/ 1785/ 1852/ 1890/ 1946/ 1954/ 1957/ 1974/ 2120/ 2187
600_USA-road-d.COL.gr,965.5425870418549,38963.479999999996,38963.479999999996,0,8,48/ 66/ 83/ 234/ 281/ 283/ 349/ 352/ 389/ 433/ 451/ 480/ 560
1000_USA-road-d.COL.gr,899.4259548187256,29672.760000000002,29672.760000000002,0,3,8/ 212/ 213/ 223/ 280/ 319/ 368/ 468/ 594/ 597/ 666/ 710/ 923/ 925
1700_USA-road-d.BAY.gr,917.8476438522339,67609.85,67142.72999999998,8,4,330/ 424/ 502/ 791/ 936/ 938/ 970/ 1148/ 1157/ 1161/ 1213/ 1363/ 1401/ 1402/ 1424/ 1451/ 1456/ 1457/ 1459/ 1545/ 1572/ 1627
600_USA-road-d.NY.gr,283.2401158809662,47814.36,47814.36,6,4,26/ 51/ 198/ 226/ 239/ 240/ 353/ 361/ 363/ 381/ 436/ 461/ 463/ 488/ 490/ 515/ 516/ 549/ 556
60_USA-road-d.BAY.gr,0.11063194274902344,10633.33,10633.33,2,2,10/ 21/ 39/ 42/ 44/ 59
1000_USA-road-d.NY.gr,334.5298910140991,43329.05,43329.05,0,3,51/ 54/ 120/ 239/ 256/ 324/ 325/ 360/ 376/ 385/ 395/ 447/ 478/ 576/ 620/ 621/ 689/ 752/ 766/ 922
60_USA-road-d.COL.gr,53.02180600166321,23914.23,23914.23,2,2,9/ 11/ 27/ 44/ 51/ 52/ 53/ 56/ 58/ 60
60_USA-road-d.NY.gr,0.3325049877166748,31775.839999999997,31775.839999999997,2,3,39/ 46/ 47/ 48/ 56/ 59/ 60
100_USA-road-d.BAY.gr,0.5274710655212402,10857.060000000001,10857.060000000001,2,1,3/ 4/ 16/ 41/ 44/ 59/ 74
100_USA-road-d.COL.gr,122.3723669052124,25320.15,25320.15,2,3,22/ 26/ 29/ 49/ 71/ 77/ 81/ 83/ 92/ 93/ 97/ 99
2400_USA-road-d.BAY.gr,457.9077959060669,77192.1,77192.1,8,5,330/ 457/ 502/ 503/ 520/ 946/ 1177/ 1272/ 1411/ 1459/ 1621/ 1627/ 1735/ 1743/ 1788/ 1891/ 1898/ 1900/ 1913/ 1962/ 2027/ 2089/ 2178/ 2276/ 2277/ 2300
100_USA-road-d.NY.gr,0.9277877807617188,33931.04,33931.04,2,2,7/ 15/ 16/ 42/ 51/ 54/ 55/ 68/ 96
650_USA-road-d.BAY.gr,286.3814871311188,34634.21,34634.21,2,6,105/ 120/ 230/ 269/ 278/ 339/ 355/ 440/ 493/ 510/ 511/ 531/ 546/ 567/ 588
1100_USA-road-d.BAY.gr,1117.102667093277,65674.43,65364.23999999999,8,4,510/ 516/ 520/ 600/ 616/ 697/ 754/ 758/ 786/ 789/ 790/ 820/ 850/ 888/ 890/ 993/ 1019/ 1038/ 1048/ 1053/ 1082/ 1091/ 1099
650_USA-road-d.COL.gr,696.3613550662994,30743.0,30743.0,0,0,4/ 60/ 83/ 89/ 110/ 113/ 161/ 218/ 220/ 301/ 352/ 389/ 603
1700_USA-road-d.COL.gr,1212.383001089096,41819.31,41819.31,2,2,88/ 248/ 269/ 529/ 554/ 609/ 747/ 771/ 930/ 978/ 1053/ 1249/ 1520/ 1577
650_USA-road-d.NY.gr,489.8785572052002,43329.05,43329.05,0,3,18/ 79/ 105/ 212/ 256/ 320/ 325/ 364/ 376/ 385/ 392/ 408/ 478/ 508/ 526/ 576/ 581/ 620/ 621/ 640
1100_USA-road-d.COL.gr,257.5487160682678,42766.5,42766.5,0,1,88/ 205/ 212/ 238/ 331/ 345/ 406/ 528/ 529/ 554/ 568/ 599/ 652/ 1043/ 1053
1700_USA-road-d.NY.gr,119.83123111724854,66475.47,66475.47,4,3,582/ 585/ 617/ 694/ 721/ 855/ 866/ 906/ 1070/ 1108/ 1133/ 1176/ 1223/ 1237/ 1240/ 1307/ 1364/ 1390/ 1463/ 1547/ 1554/ 1555/ 1683
700_USA-road-d.BAY.gr,821.1646158695221,45241.37,45241.37,0,6,130/ 269/ 355/ 358/ 381/ 393/ 506/ 514/ 518/ 524/ 536/ 571/ 640/ 664/ 669/ 674/ 677
1100_USA-road-d.NY.gr,792.5027658939362,69537.15,66845.22999999997,6,2,359/ 396/ 443/ 477/ 581/ 585/ 621/ 640/ 641/ 646/ 691/ 697/ 700/ 824/ 835/ 855/ 866/ 875/ 959/ 961/ 1066
2400_USA-road-d.COL.gr,882.0859060287476,40803.0,40803.0,2,1,88/ 112/ 150/ 212/ 720/ 829/ 1033/ 1068/ 1091/ 1200/ 1410/ 2033/ 2061/ 2151/ 2272/ 2299/ 2350/ 2357
