Temps;plans_coupants;plans_coupants_2;dual_agregge;dual_initial
556;101;98;89;78
557;101;98;89;78
558;101;98;89;78
559;101;99;89;78
560;101;99;89;78
561;101;99;89;78
562;101;99;89;78
563;101;99;89;78
564;101;99;89;78
565;101;99;89;78
566;101;99;89;78
567;101;99;89;78
568;101;99;89;78
569;101;99;89;78
570;101;99;89;78
571;101;99;89;78
572;101;99;89;78
573;101;99;89;78
574;101;99;89;78
575;101;99;90;78
576;101;99;90;78
577;101;99;90;78
578;101;99;90;78
579;101;99;90;78
580;101;99;90;78
581;101;99;90;78
582;101;99;90;78
583;101;99;90;78
584;101;99;90;78
585;101;99;90;78
586;101;99;90;78
587;101;99;90;78
588;101;99;90;78
589;101;99;90;78
590;101;99;90;78
591;101;99;90;78
592;101;99;90;78
593;101;99;90;78
594;101;99;90;78
595;101;99;90;78
596;101;99;90;78
597;101;99;90;78
598;101;99;90;78
599;101;99;90;78
600;101;99;90;78
