instance,time,ubound,nb_iter,chemin
1800_USA-road-d.COL.gr,56.20357918739319,42505.7,0,88/ 931/ 1290/ 467/ 1708/ 1352/ 1533/ 1599/ 1601/ 825/ 1679/ 330/ 696/ 1001/ 1053
950_USA-road-d.COL.gr,17.088992834091187,29672.76,1,213/ 536/ 468/ 121/ 323/ 678/ 547/ 490/ 305/ 295/ 117/ 618/ 710/ 666
2400_USA-road-d.NY.gr,46.79334211349487,71974.35,0,1785/ 1617/ 2355/ 1852/ 595/ 1309/ 1556/ 1592/ 2350/ 2368/ 1584/ 1918/ 1414/ 1799/ 2061/ 2369/ 1952/ 1676/ 2319/ 2336/ 2353/ 2320/ 1974
1300_USA-road-d.NY.gr,22.10725498199463,67883.94,1,1144/ 1118/ 646/ 1183/ 1053/ 617/ 1117/ 1070/ 1093/ 1068/ 866/ 697/ 856/ 447/ 910/ 581/ 923/ 579/ 1235/ 1223/ 1284/ 691/ 1271/ 1296
950_USA-road-d.NY.gr,12.21789288520813,43329.049999999996,1,576/ 385/ 596/ 539/ 364/ 651/ 324/ 360/ 582/ 108/ 281/ 891/ 2/ 277/ 465/ 527/ 348/ 349/ 759/ 621
1800_USA-road-d.NY.gr,35.831695795059204,69098.25,1,1133/ 621/ 1190/ 1171/ 477/ 1559/ 1772/ 1740/ 1720/ 507/ 866/ 1463/ 585/ 1484/ 1450/ 581/ 1421/ 1176/ 1240/ 1226/ 1554/ 1555/ 1756/ 1785
180_USA-road-d.BAY.gr,0.6548600196838379,13395.74,1,74/ 41/ 129/ 104/ 34/ 79/ 100/ 138/ 159
180_USA-road-d.COL.gr,0.530224084854126,36557.45,0,83/ 176/ 139/ 166/ 165/ 101/ 126/ 108/ 99/ 159/ 161
180_USA-road-d.NY.gr,0.558445930480957,32640.039999999997,0,120/ 122/ 119/ 63/ 88/ 97/ 114/ 96/ 142/ 154
1400_USA-road-d.BAY.gr,20.95906400680542,79995.28000000001,1,1177/ 1161/ 939/ 1093/ 760/ 770/ 995/ 1237/ 861/ 581/ 946/ 963/ 516/ 510/ 859/ 1367/ 1332/ 1288/ 1361/ 1153/ 1127/ 1152/ 1224/ 1363/ 1323/ 1338
1400_USA-road-d.COL.gr,23.428562879562378,42505.7,0,88/ 362/ 471/ 1237/ 834/ 612/ 360/ 448/ 293/ 1050/ 1232/ 945/ 554/ 529/ 1053
1900_USA-road-d.BAY.gr,33.13220691680908,77036.69,0,1580/ 1641/ 1793/ 1215/ 1093/ 1458/ 770/ 671/ 1692/ 861/ 1120/ 1674/ 963/ 414/ 889/ 1422/ 993/ 1898/ 1363/ 1249/ 1890/ 1572/ 1727/ 1679/ 1834
2500_USA-road-d.BAY.gr,54.01504111289978,73974.15999999999,0,2222/ 2172/ 1862/ 1915/ 2193/ 2180/ 2299/ 1367/ 859/ 1906/ 2269/ 2327/ 1569/ 1974/ 861/ 1684/ 2365/ 860/ 2364/ 970/ 1123/ 1161/ 2176/ 2225/ 2283/ 2405
1400_USA-road-d.NY.gr,19.982045888900757,67883.94,1,1144/ 722/ 1054/ 875/ 1053/ 617/ 1117/ 1070/ 1093/ 1068/ 866/ 697/ 856/ 108/ 325/ 581/ 923/ 1171/ 1235/ 1223/ 578/ 1270/ 1271/ 1296
140_USA-road-d.BAY.gr,0.403656005859375,15643.660000000002,0,63/ 58/ 104/ 48/ 99/ 116/ 105/ 130/ 136
140_USA-road-d.COL.gr,0.4372591972351074,24651.02,1,60/ 83/ 117/ 78/ 97/ 138/ 92/ 127/ 126/ 108/ 129
140_USA-road-d.NY.gr,0.342055082321167,33079.16,1,134/ 98/ 114/ 108/ 59/ 100/ 87/ 7/ 119/ 39/ 120/ 140
1500_USA-road-d.BAY.gr,20.56951117515564,79484.42,0,1177/ 1161/ 1123/ 1370/ 900/ 582/ 671/ 1237/ 1160/ 1235/ 850/ 424/ 414/ 889/ 1382/ 1478/ 1491/ 1288/ 1361/ 1153/ 1443/ 1152/ 1381/ 1363/ 1323/ 1338
1900_USA-road-d.COL.gr,49.23218297958374,42505.7,0,88/ 362/ 213/ 518/ 1534/ 409/ 178/ 1510/ 899/ 966/ 1679/ 1528/ 1674/ 1001/ 1053
2500_USA-road-d.COL.gr,57.457722902297974,48427.8,1,88/ 189/ 701/ 2015/ 1840/ 1235/ 178/ 138/ 567/ 2280/ 590/ 1429/ 1477/ 1522/ 1700/ 1634/ 2161/ 1888/ 2147/ 2088
1500_USA-road-d.COL.gr,27.60546112060547,42505.7,0,88/ 238/ 1033/ 1336/ 1236/ 1498/ 1200/ 1221/ 247/ 1103/ 1043/ 945/ 1000/ 1285/ 1053
1900_USA-road-d.NY.gr,31.351245880126953,69098.25,0,1133/ 1390/ 1190/ 1171/ 1237/ 617/ 1772/ 1070/ 1044/ 855/ 1724/ 1463/ 326/ 906/ 396/ 916/ 1683/ 1176/ 1240/ 1547/ 1850/ 1826/ 1756/ 1785
1500_USA-road-d.NY.gr,20.515528202056885,66475.47,0,1144/ 1418/ 1054/ 1183/ 1053/ 1254/ 1117/ 1070/ 1093/ 507/ 866/ 1445/ 856/ 1406/ 240/ 360/ 640/ 579/ 1235/ 1223/ 1469/ 1282/ 1296
2500_USA-road-d.NY.gr,42.09876799583435,71974.35,0,1792/ 1296/ 1746/ 2385/ 1638/ 2382/ 1673/ 1512/ 2373/ 2029/ 1570/ 2463/ 2112/ 1856/ 2278/ 2374/ 1969/ 2104/ 2414/ 2434/ 2358/ 2317/ 1973
250_USA-road-d.BAY.gr,1.5269160270690918,19247.969999999998,0,159/ 105/ 184/ 136/ 133/ 92/ 194/ 118/ 127/ 224
250_USA-road-d.COL.gr,0.9546339511871338,34677.409999999996,0,83/ 196/ 215/ 195/ 214/ 165/ 164/ 213/ 193/ 246/ 181/ 161
250_USA-road-d.NY.gr,0.8587579727172852,37057.409999999996,1,147/ 82/ 44/ 54/ 178/ 18/ 3/ 71/ 108/ 240/ 199/ 152/ 204/ 239
300_USA-road-d.BAY.gr,1.6679809093475342,21954.18,1,224/ 127/ 277/ 106/ 256/ 186/ 136/ 130/ 268/ 160/ 269
1600_USA-road-d.BAY.gr,21.19145703315735,81914.42,0,1329/ 1404/ 1330/ 1115/ 1152/ 1572/ 1153/ 1402/ 1487/ 1424/ 1457/ 1422/ 1045/ 330/ 577/ 1564/ 936/ 861/ 902/ 1577/ 1411/ 1372/ 862/ 792/ 826/ 1545/ 1580
